id,institutionCode,eventDate,year,recordedBy,goodQualityAccessURI,associatedSpecimenReference,draw,number_teeth,glands,tooth_spacing,leaf_length_mm,leaf_width_mm,leaf_tip_exceeded_by_teeth,leaf_type,sun,date,leafcuts,mm_conversion,imperial_fract,sampled,,
2315333,HPSU,1977-4-9,1977,Lynn Larsen,NA,NA,0,11;13,NA,"27,25,21;27,28,22",151,26,N,CAULINE,SHADE,10.06.2021,Y,15,39/64,Y,,
3457887,COCC,1996-7-29,1996,Christine Ott-Hopkins,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO-MISIDENTIFIED ,,
1363276,DAV,1976-06-01,1976,Linda M. Barker,https://bisque.cyverse.org/image_service/image/00-FDeob9ZskZXQwmoNJ2cMgm/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363276,0,14;15,NA,"34,39,15;33,43,24",231,35,N,CAULINE,SHADE,10.06.2021,Y,34.5,86/64,Y,,
195879,OBI,1982-07-17,1982,Karen Symonds,https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195879,0,3;4,NA,"86,71,88;55,63,42",282,55,N,CAULINE,SHADE,10.06.2021,N,39.5,102/64,Y,,
2042390,SRP,1961-7-12,1961,D. J. Obee,NA,NA,0,7;6,NA,"53,34,33;25,28,37",179,37,N,CAULINE,SHADE,10.06.2021,Y,31,88/64,Y,,
1363292,DAV,1974-06-29,1974,Mary M. Hektner,https://bisque.cyverse.org/image_service/image/00-MQwu2sPKS9LPPjeSVvJEJ3/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363292,0,13;10,NA,"33,37,28;39,18,20",222,35,N,CAULINE,SHADE,10.06.2021,Y,34.8,88/64,Y,,
2175137,UCSC,2008-03-26,2008,Greg Gilbert,https://bisque.cyverse.org/image_service/image/00-qYp8QCHVoQpSTMsdRpkDTa/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=2175137,0,12;7,NA,"61,42,38;72,46,43",234,53,N,CAULINE,SHADE,10.06.2021,Y,35,90/64,Y,,
2240008,SOC,1991-6-22,1991,Marie Jeannette James,NA,NA,0,15;15,NA,"30,18,15;26,17,13",146,32,N,CAULINE,SHADE,10.06.2021,N,15,40/64,Y,,
1894572,UCSB,1987-07-22,1987,David Pritchett,https://api.idigbio.org/v2/media/cc784670c868205f5a558d88394ab539?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894572,0,14;17,NA,"38,15,26;31,26,15",196,42,N,CAULINE,SHADE,10.06.2021,N,30,77/64,Y,,
320983,UCSB,1984-09-25,1984,Wayne R. Ferren,https://api.idigbio.org/v2/media/59b83658c2308db5e3b244f65e766ecf?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=320983,0,8;2,NA,"28,35,37;55",161,29,N,CAULINE,SHADE,10.06.2021,N,30,77/64,Y,,
2240720,SOC,1967-5-28,1967,Ray Godfrey,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1945575,PLU,1960-5-7,1960,Ken Riggers,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2315332,HPSU,1982-4-25,1982,L. R. Lewton,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1363286,DAV,1965-04-15,1965,Roman Gankin,https://bisque.cyverse.org/image_service/image/00-Q8kBukDLL5sVh9GrcZHYZP/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1894575,UCSB,1967-06-18,1967,John R. Haller,https://api.idigbio.org/v2/media/d7aed06076b5f16b027a461ad3d3f7b1?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894575,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2120666,IDS,1971-2-27,1971,Karl E. Holte,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2315327,HPSU,1978-4-8,1978,D. Heniphell,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1954810,WCW,1979-5-22,1979,Cynthia Faubion,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1308202,DAV,1955-07-26,1955,Beecher Crampton,https://bisque.cyverse.org/image_service/image/00-3ZiPrqDGF3yoMeL9s7LU4k/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1308202,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
195881,OBI,1965-08-25,1965,Lewis S. Rose,https://api.idigbio.org/v2/media/3981370672ff2e3f1b76f36e12972d6f?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195881,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1463191,UCR,1975-09-27,1975,C.W. Tilforth,https://api.idigbio.org/v2/media/339bad60f0e2652bf8d4fffbf318e13e?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1463191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1401521,DAV,1980-12-11,1980,Peter Rubtzoff,https://bisque.cyverse.org/image_service/image/00-ZtuAXgufYrMchqfXNRQ6vd/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1401521,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1894579,UCSB,1968-07-28,1968,Glen Olson,https://api.idigbio.org/v2/media/5287a9f275ef37f4b7c6c39a55e0ba08?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894579,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
195878,OBI,1981-05-17,1981,Julie Oxford,https://api.idigbio.org/v2/media/14427bd63a5acc1769766f00f94a71a9?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195878,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
195871,OBI,1992-07-07,1992,Arthur W. Hazebrook,https://api.idigbio.org/v2/media/d1186ec23aa2dd5be27a322562076fd5?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195871,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1363280,DAV,1986-04-11,1986,Frederica Bowcutt,https://bisque.cyverse.org/image_service/image/00-KLeJCwxEAzHjr4ZwyPQhXC/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363280,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
3141044,FSC,1966-05-13,1966,B. E. Deuel,https://api.idigbio.org/v2/media/65664c84a2abf7b2490d638f1882e273?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=3141044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2085323,CHSC,1997-04-19,1997,Colby J. Boggs,https://bisque.cyverse.org/image_service/image/00-jYKBPCfc3TFbBDgG5Yf8eT/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=2085323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2042393,SRP,1973-7-23,1973,R. Thompson,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1713907,WWB,1964-6-19,1964,J. S. Martin,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
195876,OBI,1991-10-26,1991,David J. Keil,https://api.idigbio.org/v2/media/ef3cd80793a2e50982bdf886f10d409d?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
3424965,WTU,2018-7-20,2018,Walter Fertig,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
614527,SFV,1963-05-05,1963,J. Turner,https://api.idigbio.org/v2/media/978733c4f770d911d23bef14787d5cb7?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=614527,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2137941,CHSC,1972-05-14,1972,Georgia Mason,https://bisque.cyverse.org/image_service/image/00-zaywBSaRZf34bQeVDZHtQJ/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=2137941,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1363297,DAV,1996-04-14,1996,D. Sanchez-Mata,https://bisque.cyverse.org/image_service/image/00-dC56c3rc7grCicHXg6THU7/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1448603,UCR,1957-07-01,1957,John C. Roos,https://api.idigbio.org/v2/media/287ecfd8c5286b3a23f8ae7a80c4f6ea?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1448603,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2252923,SOC,1972-5-14,1972,Georgia Mason,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1363285,DAV,1955-07-26,1955,B. Crampton,https://bisque.cyverse.org/image_service/image/00-nqcuUQhGmJABqQmiJKTccE/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363285,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
3621120,OBI,2019-05-20,2019,Reed Kenny,https://api.idigbio.org/v2/media/0f997d6057c20f9aa8f9faf725859473?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=3621120,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
236149,UCSC,2012-05-16,2012,Becky Hendricks,https://bisque.cyverse.org/image_service/image/00-nFUUESVQD9qhYNiMJmcfUZ/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=236149,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1894570,UCSB,1962-06-08,1962,Dennis E. Breedlove,https://api.idigbio.org/v2/media/9a2915f7b97fa29c9535f56802690dca?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=1894570,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2315328,HPSU,1978-3-23,1978,Linda Pickens,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1363302,DAV,1953-05-30,1953,R. V. Parke,https://bisque.cyverse.org/image_service/image/00-vgvXVRTFfjXfecf7Wh6zRS/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=1363302,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
1954811,WCW,1981-4-NA,1981,David Harris,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2233307,SOC,1972-4-30,1972,Ronald E. Caramella,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
3676774,UCSC,2017-10-02,2017,Reed C. Benkendorf,https://bisque.cyverse.org/image_service/image/00-wgnCeMKtQBTCxbpYeSsMcH/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=3676774,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4450389,OBI,2020-09-03,2020,Kaito Lopez,https://bisque.cyverse.org/image_service/image/00-NUTGvAkgygW7bwF5g92AUf/resize:1250/format:jpeg,https://www.cch2.org/portal/collections/individual/index.php?occid=4450389,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
934117,ID,2006-8-23,2006,Richard R. Halse,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2072071,SRP,2002-8-22,2002,N.J. Brian,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
2233887,SOC,1971-5-9,1971,Keith L. Graves,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
195874,OBI,1981-05-16,1981,David J. Keil,https://api.idigbio.org/v2/media/57c24e675a2c20ffc9c3ba24212c3678?size=webview,https://www.cch2.org/portal/collections/individual/index.php?occid=195874,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
