"id","institutionCode","eventDate","year","recordedBy","goodQualityAccessURI","associatedSpecimenReference","draw"
195879,"OBI","1982-07-17",1982,"Karen Symonds","https://api.idigbio.org/v2/media/d0847e40ac29b30568dfaaf10da79521?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=195879",0
2042390,"SRP","1961-7-12",1961,"D. J. Obee",NA,NA,0
1363292,"DAV","1974-06-29",1974,"Mary M. Hektner","https://bisque.cyverse.org/image_service/image/00-MQwu2sPKS9LPPjeSVvJEJ3/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363292",0
2175137,"UCSC","2008-03-26",2008,"Greg Gilbert","https://bisque.cyverse.org/image_service/image/00-qYp8QCHVoQpSTMsdRpkDTa/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=2175137",0
2240008,"SOC","1991-6-22",1991,"Marie Jeannette James",NA,NA,0
1894572,"UCSB","1987-07-22",1987,"David Pritchett","https://api.idigbio.org/v2/media/cc784670c868205f5a558d88394ab539?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1894572",0
320983,"UCSB","1984-09-25",1984,"Wayne R. Ferren","https://api.idigbio.org/v2/media/59b83658c2308db5e3b244f65e766ecf?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=320983",0
2240720,"SOC","1967-5-28",1967,"Ray Godfrey",NA,NA,0
1945575,"PLU","1960-5-7",1960,"Ken Riggers",NA,NA,0
2315332,"HPSU","1982-4-25",1982,"L. R. Lewton",NA,NA,0
1363286,"DAV","1965-04-15",1965,"Roman Gankin","https://bisque.cyverse.org/image_service/image/00-Q8kBukDLL5sVh9GrcZHYZP/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1363286",0
1894575,"UCSB","1967-06-18",1967,"John R. Haller","https://api.idigbio.org/v2/media/d7aed06076b5f16b027a461ad3d3f7b1?size=webview","https://www.cch2.org/portal/collections/individual/index.php?occid=1894575",0
2120666,"IDS","1971-2-27",1971,"Karl E. Holte",NA,NA,0
2315327,"HPSU","1978-4-8",1978,"D. Heniphell",NA,NA,0
1954810,"WCW","1979-5-22",1979,"Cynthia Faubion",NA,NA,0
1308202,"DAV","1955-07-26",1955,"Beecher Crampton","https://bisque.cyverse.org/image_service/image/00-3ZiPrqDGF3yoMeL9s7LU4k/resize:1250/format:jpeg","https://www.cch2.org/portal/collections/individual/index.php?occid=1308202",0
